"index","sex","ages","age_label","sentiment","label","public"
151,"2","",NA,2,"благо",2
152,"2","",NA,2,"благо",2
153,"2","",NA,2,"благо",2
154,"2","",NA,2,"благо",2
155,"2","",NA,2,"благо",2
156,"2","",NA,2,"благо",2
157,"2","",NA,2,"благо",2
158,"1","19.1.1945",3,2,"благо",2
159,"1","25.5.1983",3,1,"благо",2
160,"2","1.1.1902",NA,0,"благо",2
161,"2","9.4.2000",2,1,"пасибо",2
162,"2","",NA,2,"спс",2
163,"2","",NA,0,"спс",2
164,"2","",NA,0,"спс",2
165,"2","",NA,2,"спс",2
166,"1","6.3.1994",2,1,"благо",2
